509;"Payette Brewing Company";"Garden City";"ID"
510;"Montauk Brewing Company";"Montauk";"NY"
511;"Right Brain Brewery";"Traverse City";"MI"
512;"COAST Brewing Company";"Charleston";"SC"
513;"Broad Brook Brewing LLC";"East Windsor";"CT"
514;"Piney River Brewing Company";"Bucryus";"MO"
515;"Schlafly Brewing Company";"Saint Louis";"MO"
516;"Upland Brewing Company";"Bloomington";"IN"
517;"Armstrong Brewing Company";"South San Francisco";"CA"
518;"The Brewer's Art";"Baltimore";"MD"
519;"450 North Brewing Company";"Columbus";"IN"
520;"Hale's Ales";"Seattle";"WA"
521;"Brew Link Brewing";"Plainfield";"IN"
522;"Dirty Bucket Brewing Company";"Woodinville";"WA"
523;"Wind River Brewing Company";"Pinedale";"WY"
524;"Big Lake Brewing";"Holland";"MI"
525;"Crazy Mountain Brewing Company";"Edwards";"CO"
526;"Sun King Brewing Company";"Indianapolis";"IN"
527;"Caldera Brewing Company";"Ashland";"OR"
528;"Steamworks Brewing Company";"Durango";"CO"
529;"Elevator Brewing Company";"Columbus";"OH"
530;"New England Brewing Company";"Woodbridge";"CT"
531;"Indiana City Brewing";"Indianapolis";"IN"
